experiment_id,set_id,cell_type,temperature,env,pseudo_id,pseudo_x,inhibitor_name,inhibitor_conc,inhibitor_conc_units,_esid,_range,_norm_cv_avg,_norm_cv_std,_intra_range_fold,_intra_ln_u_avg,_intra_ln_u_std,_intra_ln_s_avg,_intra_ln_s_std,_intra_delay_avg,_intra_delay_std,_intra_dmax_avg,_intra_dmax_std,_intra_left_avg,_intra_left_std,_intra_right_avg,_intra_right_std,_intra_duration_avg,_intra_duration_std,_intra_t20_avg,_intra_t20_std,_intra_t50_avg,_intra_t50_std,_intra_in_t20_avg,_intra_in_t20_std,_intra_in_t50_avg,_intra_in_t50_std,_intra_baseline_avg,_intra_baseline_std,rb_factor,baseline,ln_u,ln_s,ln_r2,ln_n,delay,log2_delay,dmax,left,log2_left,right,log2_right,duration,t20,t50,in_t20,in_t50
20180604,P3V1,TZM-BL,37,M20100_XPR_208,20180430O,0.071428571,T20,50,ug/mL,20180604.P3V1,35.34707158,0.042403561,0.474964058,1.004862367,3.148040238,0.267575947,0.973995786,0.182240248,8.887771348,0.776038582,0.029307048,0.008052018,3.410441768,0.908695996,23.54723039,2.229261642,20.13678862,3.137957638,9.850861467,1.240715717,22.70850097,6.269193404,10.04703876,0.93509003,22.88172553,5.92859551,-0.001314662,0.001309854,1.002240868,-0.001314662,3.13290664,0.991705623,0.987579817,7,8.579937221,3.100967092,0.028673665,3.182671611,1.670238307,23.13004033,4.531695876,19.94736872,9.522873018,21.94056268,10.00769401,22.38037687
20180604,P3V2,TZM-BL,37,M26610_PL_114,20180430F,0.228571429,T20,50,ug/mL,20180604.P3V2,71.95380593,-0.195329732,0.936865643,1.000009285,3.902961451,0.009832281,0.616879713,0.0208844,33.86107973,0.539521148,0.015797312,0.000486646,18.27733816,0.672791185,62.745611,0.310611793,44.46827284,0.983402977,28.88746037,0.217865703,48.55016642,0.487183293,28.69961903,0.089747307,49.27593366,0.649176858,-0.000248914,0.000561707,0.999851727,-0.000248914,3.902723272,0.616781873,0.997962504,7,33.86233697,5.081609637,0.015792628,18.27477182,4.191781488,62.74539984,5.971437787,44.47062801,28.88242128,48.53716876,28.70243293,49.26136325
20180604,P3V3,TZM-BL,37,M26610_PL_809,20180430I,0.014285714,T20,50,ug/mL,20180604.P3V3,67.84303406,-0.140840318,0.501800053,1.019697015,2.424388445,0.00572617,0.706766542,0.055591586,6.852754183,0.498811944,0.06433311,0.002905156,3.38948055,0.43417189,13.87606383,0.239527678,10.48658328,0.194644213,5.681804543,0.230076854,10.29541219,0.064679098,5.854838939,0.204989416,10.49063474,0.14035634,-0.000855425,0.00109163,1.000083527,-0.000855425,2.42428166,0.702168631,0.996409332,7,6.898064561,2.786191632,0.064369323,3.418056939,1.77317643,13.92115332,3.799206833,10.50309638,5.700832386,10.29411349,5.86247433,10.48540678
20180604,P3V4,TZM-BL,37,M20100_XPR_1101,20180430J,0.085714286,T20,50,ug/mL,20180604.P3V4,40.1505174,-0.155309299,0.568294811,1.007024744,2.799058329,0.006133273,1.083276714,0.122984689,5.136999656,1.383188126,0.040596824,0.001038541,1.774200556,0.684074172,14.98228845,2.233049286,13.2080879,1.548975114,6.218784397,0.682920715,15.42932311,0.100764895,7.138887173,0.422039401,15.57258486,0.36804187,-0.001117623,0.001603286,0.999983928,-0.001117623,2.798828949,1.078915868,0.983679486,7,5.128275785,2.358473848,0.040288288,1.743428593,0.801927276,15.08476609,3.915020421,13.3413375,6.221288449,15.42540052,7.146727825,15.57503943
20180604,P3V5,TZM-BL,37,M26610_BML_6105,20180430B,0.028571429,T20,50,ug/mL,20180604.P3V5,59.43123744,0.113828483,0.203107176,1.041835357,2.966687918,0.065440918,0.866982387,0.059777509,9.148663126,0.349496145,0.034621795,0.002857151,3.852255896,0.376874578,21.7658329,0.469372791,17.913577,0.846247369,8.883517265,0.165966858,18.44827086,1.271805073,9.184683956,0.45718586,18.89557584,0.407069438,-0.000476713,6.52E-06,1.000481324,-0.000476713,2.965175615,0.86647481,0.989243682,7,9.155886623,3.194699598,0.034548104,3.849418929,1.944640687,21.77738027,4.444758509,17.92796134,8.872923347,18.39810954,9.17023396,18.9198683
20180604,P4V1,TZM-BL,37,B26611_XPR_217,20180430D,0.142857143,T20,50,ug/mL,20180604.P4V1,105.3456905,0.933731297,1.411018325,1.046973573,4.425391874,0.012880093,0.675432251,0.020212941,52.95182414,2.127298514,0.008884077,3.02E-05,26.96280484,1.627509505,104.0124741,2.077209094,77.04966927,0.449699589,46.76416525,1.404947556,82.54900511,1.076089231,46.82181825,0.964317375,,,0.000276043,0.001097256,0.99894808,0.000276043,4.425671652,0.675599014,0.999953849,7,52.94415213,5.726399437,0.008877479,26.94071229,4.75171609,104.0463672,6.701082784,77.10565495,46.76031319,82.56891764,46.85656038,
20180604,P4V2,TZM-BL,37,B26771_XPD_4004,20180507D,0.2,T20,50,ug/mL,20180604.P4V2,35.37725466,0.433412069,1.00221045,1.087249621,3.372540567,0.044709853,1.008900752,0.040754985,10.52950543,0.395033477,0.022593504,0.000993761,3.84379356,0.300587542,28.86797111,0.093225143,25.02417755,0.393812685,12.04369589,0.144496998,28.16706688,1.303620983,12.13034462,0.073827481,28.60242191,1.216391385,0.000858645,0.002321407,0.997499872,0.000858645,3.371888565,1.00855905,0.99804265,7,10.53493847,3.397109983,0.02257857,3.842557485,1.942066843,28.88308869,4.852153124,25.04053121,12.03881689,28.13349564,12.1262156,28.63430276
20180604,P4V3,TZM-BL,37,M26610_BML_3801,20180430G,0.014285714,T20,50,ug/mL,20180604.P4V3,49.37661196,-0.085161648,0.389023268,1.058029467,2.736527805,0.052661297,1.20865264,0.020048009,3.580455579,0.015034786,0.044428411,0.001999405,1.06918406,0.01694465,11.99254557,0.290756538,10.92336151,0.307701188,5.220786407,0.205844485,14.44400571,0.812925676,6.027986435,0.097898038,14.58333623,0.900059095,-0.001551771,0.001485948,1.002602495,-0.001551771,2.736235777,1.210413516,0.985830807,7,3.564896056,1.833860012,0.044441306,1.062602811,0.087602434,11.95976875,3.580117589,10.89716594,5.209669243,14.42879822,6.033740172,14.43754081
20180604,P4V4,TZM-BL,37,M20100_XPD_2301,20180430M,0.114285714,T20,50,ug/mL,20180604.P4V4,112.328478,-0.893299311,2.624862168,1.036343465,3.375167155,0.099478844,1.023906273,0.057529292,10.22885131,0.187488057,0.022605068,0.002184533,3.679069984,0.278825606,28.48616846,1.116341436,24.80709847,1.395167042,11.93253308,0.651051796,28.30151226,2.910082428,12.81768952,0.641870124,26.91333624,2.378319837,-0.000199268,0.001363718,0.999234973,-0.000199268,3.373254022,1.025029127,0.993578578,7,10.20185239,3.350759226,0.022560127,3.660281962,1.871954788,28.43436469,4.829563665,24.77408273,11.88989122,28.17330335,12.78586875,26.88616442
20180604,P4V5,TZM-BL,37,M26770_XPD_9421,20180507A,0.257142857,T20,50,ug/mL,20180604.P4V5,25.17307692,0.384897033,0.672257093,1.118212995,3.444270536,0.100936554,1.146532648,0.037233876,8.479857882,1.570857536,0.021515378,0.002386426,2.704587958,0.599624971,26.60552814,3.951788021,23.90094018,3.35216305,11.60433598,1.568806438,30.40023645,3.164060806,12.08687183,2.748590458,30.19173576,0.678791426,0.001833578,0.00347009,1.000620146,0.001833578,3.445682385,1.146760107,0.982130197,7,8.420116319,3.073840163,0.021407109,2.674770376,1.419415044,26.5063347,4.728265283,23.83156432,11.56684019,30.36467894,12.06046296,30.02804098
